date,count
January 1992,40165
February 1992,40145
March 1992,39880
April 1992,40000
May 1992,39790
June 1992,39425
July 1992,40625
August 1992,40570
September 1992,40665
October 1992,39880
November 1992,39370
December 1992,40105
January 1993,40390
February 1993,39830
March 1993,39335
April 1993,39845
May 1993,39160
June 1993,38605
July 1993,39170
August 1993,39270
September 1993,39215
October 1993,37820
November 1993,37545
December 1993,37240
January 1994,38115
February 1994,37430
March 1994,36875
April 1994,36895
May 1994,36305
June 1994,35575
July 1994,36335
August 1994,36055
September 1994,35825
October 1994,34645
November 1994,34010
December 1994,33740
January 1995,34410
February 1995,33840
March 1995,32950
April 1995,33215
May 1995,32580
June 1995,32670
July 1995,33045
August 1995,32790
September 1995,32245
October 1995,31490
November 1995,31255
December 1995,31385
January 1996,32110
February 1996,32125
March 1996,31695
April 1996,31800
May 1996,31200
June 1996,31130
July 1996,31620
August 1996,31620
September 1996,31065
October 1996,29685
November 1996,28430
December 1996,28305
January 1997,28785
February 1997,28250
March 1997,27580
April 1997,26960
May 1997,26230
June 1997,25825
July 1997,25960
August 1997,25860
September 1997,25180
October 1997,24105
November 1997,23200
December 1997,23120
January 1998,24095
February 1998,23655
March 1998,23280
April 1998,23215
May 1998,22990
June 1998,23005
July 1998,23205
August 1998,23120
September 1998,22315
October 1998,21375
November 1998,20945
December 1998,20715
January 1999,21560
February 1999,21470
March 1999,21110
April 1999,21010
May 1999,20465
June 1999,20395
July 1999,20500
August 1999,20400
September 1999,19920
October 1999,19500
November 1999,19240
December 1999,19210
January 2000,20200
February 2000,20195
March 2000,19940
April 2000,19495
May 2000,19255
June 2000,19105
July 2000,19290
August 2000,19105
September 2000,18480
October 2000,17895
November 2000,17490
December 2000,17550
January 2001,18140
February 2001,18020
March 2001,17825
April 2001,17240
May 2001,17020
June 2001,16675
July 2001,16650
August 2001,16645
September 2001,16285
October 2001,16035
November 2001,15890
December 2001,15730
January 2002,16585
February 2002,16605
March 2002,16445
April 2002,16375
May 2002,16120
June 2002,15860
July 2002,15895
August 2002,15680
September 2002,15355
October 2002,15125
November 2002,15000
December 2002,15155
January 2003,15950
February 2003,15975
March 2003,15600
April 2003,15435
May 2003,15370
June 2003,15195
July 2003,14970
August 2003,14795
September 2003,14575
October 2003,14025
November 2003,13860
December 2003,14030
January 2004,14735
February 2004,14885
March 2004,14830
April 2004,14530
May 2004,14215
June 2004,14220
July 2004,14205
August 2004,14375
September 2004,14055
October 2004,13720
November 2004,13570
December 2004,13725
January 2005,14415
February 2005,14625
March 2005,14880
April 2005,15005
May 2005,14885
June 2005,14640
July 2005,14840
August 2005,14785
September 2005,14810
October 2005,14675
November 2005,14705
December 2005,15005
January 2006,15785
February 2006,16265
March 2006,16450
April 2006,16705
May 2006,16620
June 2006,16525
July 2006,16790
August 2006,16765
September 2006,16605
October 2006,16005
November 2006,15685
December 2006,16050
January 2007,16275
February 2007,16330
March 2007,15945
April 2007,15660
May 2007,15295
June 2007,14900
July 2007,14955
August 2007,14930
September 2007,14820
October 2007,14565
November 2007,14260
December 2007,14440
January 2008,14805
February 2008,15215
March 2008,15250
April 2008,14975
May 2008,14825
June 2008,14740
July 2008,15285
August 2008,15725
September 2008,15955
October 2008,16210
November 2008,16945
December 2008,17800
January 2009,18840
February 2009,20060
March 2009,20655
April 2009,21060
May 2009,21230
June 2009,21310
July 2009,21550
August 2009,21860
September 2009,21520
October 2009,21400
November 2009,21245
December 2009,21200
January 2010,21930
February 2010,21635
March 2010,21035
April 2010,20455
May 2010,19855
June 2010,19380
July 2010,19220
August 2010,19660
September 2010,19425
October 2010,19680
November 2010,19735
December 2010,19650
January 2011,20385
February 2011,20730
March 2011,20705
April 2011,20885
May 2011,20755
June 2011,20915
July 2011,21040
August 2011,21205
September 2011,21360
October 2011,21090
November 2011,20940
December 2011,21005
January 2012,21665
February 2012,22300
March 2012,22110
April 2012,21720
May 2012,21335
June 2012,21145
July 2012,21130
August 2012,20915
September 2012,20700
October 2012,20790
November 2012,20420
December 2012,20130
January 2013,20350
February 2013,20620
March 2013,20370
April 2013,19905
May 2013,19490
June 2013,19050
July 2013,18805
August 2013,18540
September 2013,18020
October 2013,17595
November 2013,17020
December 2013,16995
January 2014,17180
February 2014,17095
March 2014,16565
April 2014,15715
May 2014,14985
June 2014,14210
July 2014,13685
August 2014,13180
September 2014,13045
October 2014,12680
November 2014,11825
December 2014,11620
January 2015,11785
February 2015,12385
March 2015,12370
April 2015,12640
May 2015,12555
June 2015,12275
July 2015,12065
August 2015,11900
September 2015,11640
October 2015,11425
November 2015,11040
December 2015,10825
January 2016,11000
February 2016,11455
March 2016,11550
April 2016,11460
May 2016,11395
June 2016,11130
July 2016,10905
August 2016,10825
September 2016,10835
October 2016,10770
November 2016,10665
December 2016,10590
January 2017,10615
February 2017,11010
March 2017,11445
April 2017,11760
May 2017,11850
June 2017,11755
July 2017,11640
August 2017,11785
September 2017,11610
October 2017,11440
November 2017,11165
December 2017,10980
January 2018,11270
February 2018,11660
March 2018,11870
April 2018,11905
May 2018,11815
June 2018,11580
July 2018,11370
August 2018,11380
September 2018,11075
October 2018,10970
November 2018,10860
December 2018,11110
January 2019,11810
February 2019,12855
March 2019,13255
April 2019,13755
May 2019,13800
June 2019,14220
July 2019,14280
August 2019,14590
September 2019,14595
October 2019,14810
November 2019,15115
December 2019,15390
January 2020,15315
February 2020,15815
March 2020,16115
April 2020,25535
May 2020,29575
June 2020,28990
July 2020,29235
August 2020,29595
September 2020,29495
October 2020,29020
November 2020,29465
December 2020,29055
January 2021,28725
February 2021,29795
March 2021,30045
April 2021,29700
May 2021,28490
June 2021,26970
July 2021,26315
August 2021,25390
September 2021,24085
October 2021,23210
November 2021,22325
December 2021,21540
January 2022,21245
February 2022,21370
March 2022,21035
April 2022,20030
May 2022,19495
June 2022,19065
July 2022,18690
August 2022,18725
September 2022,18180
October 2022,17795
November 2022,18050
December 2022,18070
January 2023,18065
February 2023,18480
March 2023,19135
April 2023,19325
May 2023,18800
June 2023,18740
July 2023,18750
August 2023,18495
September 2023,18345
October 2023,18360
November 2023,18515
December 2023,18480
January 2024,18455
February 2024,18765
March 2024,18730
April 2024,18735
