"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
"2021","North East","E12000001",2647013,2594828,52185
"2021","North West","E12000002",7417397,7290560,126837
"2021","Yorkshire and The Humber","E12000003",5480774,5376740,104034
"2021","East Midlands","E12000004",4880054,4778018,102036
"2021","West Midlands","E12000005",5950757,5854512,96245
"2021","East","E12000006",6335074,6238659,96415
"2021","London","E12000007",8799728,8699834,99894
"2021","South East","E12000008",9278065,9088552,189513
"2021","South West","E12000009",5701186,5582599,118587
"2021","Wales","W92000004",3107494,3051549,55945
