"date","geography","geography code","Marital and civil partnership status: Total; measures: Value","Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value"
"2021","Hartlepool","E06000001",74684,28651,31559,31457,31270,187,102,36,66,1902,1892,10,7167,7148,19,5405,5398,7
"2021","Middlesbrough","E06000002",113938,49116,44937,44746,44501,245,191,82,109,2891,2869,22,9683,9660,23,7311,7302,9
"2021","Redcar and Cleveland","E06000003",112345,39827,49428,49240,49026,214,188,70,118,2688,2668,20,11593,11561,32,8809,8804,5
"2021","Stockton-on-Tees","E06000004",158010,56727,71993,71774,71397,377,219,74,145,3975,3951,24,14968,14942,26,10347,10341,6
"2021","Darlington","E06000005",88105,31247,38963,38842,38603,239,121,30,91,2409,2400,9,9473,9447,26,6013,6002,11
"2021","County Durham","E06000047",433959,160142,188422,187773,186775,998,649,209,440,10909,10846,63,43446,43357,89,31040,31002,38
"2021","Northumberland","E06000057",268848,82048,132592,132129,131483,646,463,144,319,6837,6799,38,26691,26642,49,20680,20668,12
"2021","Newcastle upon Tyne","E08000021",248450,124259,87697,87185,86547,638,512,226,286,5530,5488,42,18353,18299,54,12611,12588,23
"2021","North Tyneside","E08000022",171509,61425,76283,75951,75387,564,332,116,216,4341,4318,23,17434,17390,44,12026,12018,8
"2021","South Tyneside","E08000023",121293,46075,50398,50210,49940,270,188,77,111,3320,3301,19,12538,12511,27,8962,8951,11
"2021","Sunderland","E08000024",226068,87451,96402,96101,95634,467,301,138,163,5591,5555,36,20404,20366,38,16220,16214,6
