"date","geography","geography code","Household composition: Total; measures: Value","Household composition: One person household; measures: Value","Household composition: One person household: Aged 66 years and over; measures: Value","Household composition: One person household: Other; measures: Value","Household composition: Single family household; measures: Value","Household composition: Single family household: All aged 66 years and over; measures: Value","Household composition: Single family household: Married or civil partnership couple; measures: Value","Household composition: Single family household: Married or civil partnership couple: No children; measures: Value","Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value","Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value","Household composition: Single family household: Cohabiting couple family; measures: Value","Household composition: Single family household: Cohabiting couple family: No children; measures: Value","Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value","Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value","Household composition: Single family household: Lone parent family; measures: Value","Household composition: Single family household: Lone parent family: With dependent children; measures: Value","Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value","Household composition: Single family household: Other single family household; measures: Value","Household composition: Single family household: Other single family household: Other family composition; measures: Value","Household composition: Other household types; measures: Value","Household composition: Other household types: With dependent children; measures: Value","Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value"
"2021","Hartlepool","E06000001",40930,13616,5647,7969,25845,3669,11290,4501,4275,2514,5067,2236,2432,399,5628,3886,1742,191,191,1469,687,782
"2021","Middlesbrough","E06000002",60261,19964,7739,12225,36756,4496,15641,5343,7052,3246,6837,3073,3197,567,9166,6236,2930,616,616,3541,1549,1992
"2021","Redcar and Cleveland","E06000003",61640,20663,9739,10924,39003,6861,16823,6862,6252,3709,7239,3224,3403,612,7803,5170,2633,277,277,1974,965,1009
"2021","Stockton-on-Tees","E06000004",83756,25980,10812,15168,54449,7855,25861,9359,11570,4932,10203,4959,4570,674,10107,6697,3410,423,423,3327,1656,1671
"2021","Darlington","E06000005",48915,16714,6851,9863,30395,4604,13879,5643,5802,2434,5907,3092,2451,364,5757,3901,1856,248,248,1806,790,1016
"2021","County Durham","E06000047",234761,79529,34150,45379,146599,23721,66560,27844,25415,13301,27230,13657,11701,1872,27992,18904,9088,1096,1096,8633,3168,5465
"2021","Northumberland","E06000057",146922,48149,22951,25198,94740,18716,45170,19891,16759,8520,15437,8041,6377,1019,14850,9513,5337,567,567,4033,1763,2270
"2021","Newcastle upon Tyne","E08000021",122798,42031,14915,27116,69671,8122,31769,10514,15536,5719,14384,8660,4887,837,14226,9142,5084,1170,1170,11096,2426,8670
"2021","North Tyneside","E08000022",96233,33554,14272,19282,59785,8832,27784,10478,12261,5045,11577,6343,4550,684,11144,7366,3778,448,448,2894,1250,1644
"2021","South Tyneside","E08000023",68285,24550,10484,14066,41694,5980,18102,6876,7191,4035,7594,3648,3331,615,9660,6370,3290,358,358,2041,935,1106
"2021","Sunderland","E08000024",122178,40369,17539,22830,77376,11435,34151,13131,13205,7815,14832,6902,6666,1264,16240,10431,5809,718,718,4433,2158,2275
"2021","Gateshead","E08000037",88998,30807,12734,18073,54804,8105,24298,9065,10307,4926,10993,6217,3975,801,10842,6697,4145,566,566,3387,1340,2047
"2021","Halton","E06000006",55949,17702,7155,10547,35989,4776,15944,5777,6560,3607,7049,3266,3223,560,7863,5147,2716,357,357,2258,1083,1175
"2021","Warrington","E06000007",90538,27364,11444,15920,59467,8742,29538,10366,13494,5678,11000,5695,4612,693,9677,6154,3523,510,510,3707,1523,2184
"2021","Blackburn with Darwen","E06000008",58767,17578,6674,10904,37055,3943,18688,5252,9908,3528,6149,2666,2987,496,7826,5137,2689,449,449,4134,2548,1586
"2021","Blackpool","E06000009",64789,24588,9798,14790,36337,4969,14102,5915,5266,2921,7876,3805,3485,586,8885,5799,3086,505,505,3864,1523,2341
"2021","Cheshire East","E06000049",174857,53137,24817,28320,115112,20739,57228,21429,25816,9983,20642,11492,8079,1071,15655,9708,5947,848,848,6608,2553,4055
"2021","Cheshire West and Chester","E06000050",155156,46889,21284,25605,101371,16807,49139,18200,21615,9324,18970,10308,7489,1173,15643,9590,6053,812,812,6896,2324,4572
"2021","Allerdale","E07000026",43969,14674,6886,7788,27982,5397,13330,5684,4991,2655,4835,2477,2047,311,4258,2705,1553,162,162,1313,571,742
"2021","Barrow-in-Furness","E07000027",31259,11308,4687,6621,19003,3089,8490,3428,3300,1762,3809,1775,1801,233,3485,2177,1308,130,130,948,412,536
"2021","Carlisle","E07000028",50663,17780,7388,10392,31099,5177,14647,6095,5870,2682,6049,3246,2492,311,5008,3228,1780,218,218,1784,634,1150
"2021","Copeland","E07000029",30789,10565,4600,5965,19287,3433,9324,4051,3384,1889,3273,1635,1441,197,3132,1957,1175,125,125,937,419,518
"2021","Eden","E07000030",24615,7618,3863,3755,16043,3414,8187,3645,2961,1581,2651,1516,989,146,1694,932,762,97,97,954,391,563
"2021","South Lakeland","E07000031",47656,15487,8267,7220,30283,6978,14915,6713,5519,2683,4986,2937,1785,264,3246,1879,1367,158,158,1886,548,1338
"2021","Burnley","E07000117",39868,13125,5221,7904,24408,3279,10779,3893,4870,2016,4765,2167,2227,371,5282,3574,1708,303,303,2335,1152,1183
"2021","Chorley","E07000118",50132,14660,6285,8375,33664,5608,16383,5911,7503,2969,6357,3321,2643,393,5144,3288,1856,172,172,1808,776,1032
"2021","Fylde","E07000119",37601,12863,6552,6311,23342,5055,11123,4817,4279,2027,3791,2127,1447,217,3248,1972,1276,125,125,1396,550,846
"2021","Hyndburn","E07000120",34789,11432,4691,6741,21614,2952,9523,3465,4178,1880,4377,1993,2038,346,4508,3056,1452,254,254,1743,918,825
"2021","Lancaster","E07000121",59980,19526,8913,10613,36440,6200,17083,6914,7197,2972,6972,3781,2765,426,5883,3806,2077,302,302,4014,1057,2957
"2021","Pendle","E07000122",38068,11824,5139,6685,23610,3379,11592,4052,5643,1897,4303,2067,1890,346,4103,2660,1443,233,233,2634,1599,1035
"2021","Preston","E07000123",59610,19400,6671,12729,36018,3968,17502,5608,8712,3182,6778,3529,2852,397,7188,4797,2391,582,582,4192,1688,2504
"2021","Ribble Valley","E07000124",26746,7807,4001,3806,18046,3497,9436,3696,3979,1761,2927,1556,1165,206,2076,1245,831,110,110,893,378,515
"2021","Rossendale","E07000125",30561,9708,4091,5617,19525,2701,9147,3447,4007,1693,4138,1967,1904,267,3399,2225,1174,140,140,1328,677,651
"2021","South Ribble","E07000126",48587,14496,6865,7631,32324,5444,15605,5907,6631,3067,5975,3033,2590,352,5091,3131,1960,209,209,1767,792,975
"2021","West Lancashire","E07000127",48531,13989,6858,7131,31844,5695,15235,5521,6307,3407,5369,2577,2422,370,5248,3138,2110,297,297,2698,959,1739
"2021","Wyre","E07000128",50767,16346,8831,7515,32393,7138,14733,6334,5536,2863,5260,2622,2288,350,5059,3087,1972,203,203,2028,833,1195
"2021","Bolton","E08000001",118790,36521,15389,21132,75404,10058,36432,11114,18079,7239,13121,5927,6194,1000,14984,9492,5492,809,809,6865,3988,2877
"2021","Bury","E08000002",80697,24880,10646,14234,51769,7288,24861,7946,12192,4723,9493,4803,4001,689,9626,6057,3569,501,501,4048,1997,2051
"2021","Manchester","E08000003",214734,71577,18712,52865,115845,6339,48691,13055,28116,7520,26033,16569,8075,1389,30969,20225,10744,3813,3813,27312,8270,19042
"2021","Oldham","E08000004",93140,27397,11748,15649,59577,7361,28091,8251,14386,5454,10048,4296,4885,867,13381,8716,4665,696,696,6166,3856,2310
"2021","Rochdale","E08000005",90223,27641,11285,16356,57288,6855,26169,8169,12797,5203,10481,4677,4932,872,13052,8761,4291,731,731,5294,3119,2175
"2021","Salford","E08000006",115116,39141,12380,26761,66173,6293,26973,8749,13197,5027,16726,10038,5711,977,14717,9794,4923,1464,1464,9802,2732,7070
"2021","Stockport","E08000007",126648,39439,17805,21634,81576,12336,39505,12472,19338,7695,15111,8102,6071,938,13922,8684,5238,702,702,5633,2526,3107
"2021","Tameside","E08000008",99527,32374,13013,19361,62359,7645,26957,9321,11912,5724,13323,6215,6055,1053,13782,9030,4752,652,652,4794,2496,2298
"2021","Trafford","E08000009",96269,28369,12764,15605,63004,8205,33446,8869,18808,5769,10308,5722,3939,647,10459,6339,4120,586,586,4896,2248,2648
"2021","Wigan","E08000010",143102,43950,18692,25258,93548,13595,42255,15164,18150,8941,19897,9350,9126,1421,17050,10503,6547,751,751,5604,2688,2916
"2021","Knowsley","E08000011",66072,20645,8184,12461,42190,4424,17070,5553,6815,4702,8421,3657,3955,809,11704,7307,4397,571,571,3237,1710,1527
"2021","Liverpool","E08000012",207491,76340,25627,50713,115071,11377,46296,14138,21030,11128,23527,12968,8775,1784,31304,18917,12387,2567,2567,16080,4903,11177
