"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
"2021","Hartlepool","E06000001",92334,90173,88673,1358,574,663,62,59,142,142,489,1392,198,77,5
"2021","Middlesbrough","E06000002",143928,131177,126242,4505,1495,1746,1184,80,430,430,3388,8960,309,82,12
"2021","Redcar and Cleveland","E06000003",136529,134386,132550,1651,1054,358,135,104,185,185,526,1198,272,146,1
"2021","Stockton-on-Tees","E06000004",196595,188227,184328,3511,1888,890,570,163,388,388,2249,5310,608,190,11
"2021","Darlington","E06000005",107799,104041,99373,4425,1495,1969,815,146,243,243,791,2403,418,139,7
"2021","County Durham","E06000047",522067,509647,499175,9492,5283,2988,842,379,980,980,2606,7324,1787,624,79
"2021","Northumberland","E06000057",320567,314487,309315,4609,2937,1035,373,264,563,563,1494,2949,1118,485,34
"2021","Newcastle upon Tyne","E08000021",300127,265064,247792,15517,7118,5306,2573,520,1755,1755,7938,24498,2106,454,67
"2021","North Tyneside","E08000022",208967,202339,197429,4279,2411,996,693,179,631,631,1458,4055,773,332,10
"2021","South Tyneside","E08000023",147777,143605,141225,2086,1194,610,207,75,294,294,821,2901,342,97,11
"2021","Sunderland","E08000024",274172,265350,260190,4685,2280,1555,643,207,475,475,2644,5479,510,167,22
"2021","Gateshead","E08000037",196151,187935,181578,5608,2348,2242,883,135,749,749,2068,5224,730,181,13
"2021","Halton","E06000006",128478,126124,122350,3422,1228,1210,916,68,352,352,574,1300,344,132,4
"2021","Warrington","E06000007",210975,202887,191226,10768,2803,5526,2267,172,893,893,1770,5023,805,342,148
"2021","Blackburn with Darwen","E06000008",154738,133407,126745,6291,2372,2939,907,73,371,371,2708,18108,378,107,30
"2021","Blackpool","E06000009",141037,136380,129903,6126,1994,2828,1134,170,351,351,906,3143,422,175,11
