date,geography,geography code,Economic activity status: Total: All usual residents aged 16 years and over,Economic activity status: Economically active (excluding full-time students),Economic activity status: Economically active (excluding full-time students):In employment,Economic activity status: Economically active (excluding full-time students):In employment:Employee,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Full-time,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Economic activity status: Economically active (excluding full-time students): Unemployed,Economic activity status: Economically active and a full-time student,Economic activity status: Economically active and a full-time student:In employment,Economic activity status: Economically active and a full-time student:In employment:Employee,Economic activity status: Economically active and a full-time student: In employment: Employee: Part-time,Economic activity status: Economically active and a full-time student: In employment: Employee: Full-time,Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Economic activity status: Economically active and a full-time student: Unemployed,Economic activity status: Economically inactive,Economic activity status: Economically inactive: Retired,Economic activity status: Economically inactive: Student,Economic activity status: Economically inactive: Looking after home or family,Economic activity status: Economically inactive: Long-term sick or disabled,Economic activity status: Economically inactive: Other
2021,Hartlepool,E06000001,74685,39487,36846,32298,9575,22723,872,210,662,3676,1444,2232,2641,1264,903,874,712,162,5,5,0,24,16,8,361,33934,17910,3463,4303,5432,2826
2021,Middlesbrough,E06000002,113939,58233,53849,47228,14198,33030,1245,376,869,5376,2287,3089,4384,4015,2584,2461,2064,397,24,13,11,99,85,14,1431,51691,23267,7974,7527,7879,5044
2021,Redcar and Cleveland,E06000003,112340,57807,54282,47224,14167,33057,1294,313,981,5764,2436,3328,3525,1817,1338,1281,1044,237,1,0,1,56,39,17,479,52716,32033,4444,5597,7268,3374
2021,Stockton-on-Tees,E06000004,158008,89315,84174,73699,19945,53754,1994,462,1532,8481,3448,5033,5141,3027,2268,2188,1773,415,11,5,6,69,51,18,759,65666,37038,6878,7670,8208,5872
2021,Darlington,E06000005,88103,50768,48103,42072,10748,31324,1150,258,892,4881,2028,2853,2665,1561,1193,1150,947,203,11,6,5,32,22,10,368,35774,21930,3229,3899,4179,2537
2021,Halton,E06000006,103948,60121,57286,50827,12125,38702,1031,245,786,5428,2109,3319,2835,1926,1420,1379,1159,220,0,0,0,41,30,11,506,41901,22958,3919,4588,7043,3393
2021,Warrington,E06000007,172722,104700,100663,87137,20500,66637,2216,503,1713,11310,4878,6432,4037,3275,2532,2441,2037,404,7,3,4,84,67,17,743,64747,39954,6261,6215,7098,5219
2021,Blackburn with Darwen,E06000008,119509,65345,61516,52826,15242,37584,1694,537,1157,6996,3182,3814,3829,2766,2042,1932,1525,407,17,10,7,93,79,14,724,51398,21250,7777,9594,7832,4945
2021,Blackpool,E06000009,116338,61973,57545,48004,14349,33655,1303,360,943,8238,3546,4692,4428,2378,1816,1732,1333,399,14,9,5,70,47,23,562,51987,27743,4151,5897,9507,4689
2021,"Kingston upon Hull, City of",E06000010,213875,122835,114053,102111,27351,74760,1968,501,1467,9974,3947,6027,8782,5320,3735,3534,2742,792,32,24,8,169,127,42,1585,85720,38511,12766,12530,13717,8196
